2025-04-29 at 22:15:15 | DEBUG | Running Rack
2025-04-29 at 22:15:15 | DEBUG | [Scribe] Setup started
2025-04-29 at 22:15:15 | INFO | [Scribe] Directory created: 'data_sub'
2025-04-29 at 22:15:15 | DEBUG | [Scribe] Starting at: 05.00
2025-04-29 at 22:15:15 | DEBUG | [Scribe] Setup completed
2025-04-29 at 22:15:15 | DEBUG | Running Scribe
2025-04-29 at 22:15:15 | DEBUG | [Scribe] File data_sub\05.00 start.data does not exist. Creating new file.
2025-04-29 at 22:15:15 | DEBUG | [TaskManager] Setup started
2025-04-29 at 22:15:15 | DEBUG | [TaskManager] Setup completed
2025-04-29 at 22:15:15 | DEBUG | Running TaskManager
2025-04-29 at 22:15:15 | INFO | [TaskManager] Waiting for task to appear on queue
2025-04-29 at 22:15:18 | DEBUG | [FastApi] Client connected
2025-04-29 at 22:15:18 | DEBUG | [FastApi] Client connected
2025-04-29 at 22:19:36 | DEBUG | [FastApi] Client disconnected
2025-04-29 at 22:19:36 | DEBUG | [FastApi] Client disconnected
2025-04-29 at 22:19:37 | DEBUG | [FastApi] Server teardown started
2025-04-29 at 22:19:37 | DEBUG | [FastApi] Server teardown completed
2025-04-29 at 22:19:37 | DEBUG | Rack teardown started
2025-04-29 at 22:19:37 | DEBUG | Rack teardown completed
2025-04-29 at 22:19:37 | DEBUG | [TaskManager] Teardown started
2025-04-29 at 22:19:37 | DEBUG | [TaskManager] Teardown completed
2025-04-29 at 22:19:37 | DEBUG | [Scribe] Teardown started
2025-04-29 at 22:19:37 | DEBUG | [Scribe] Teardown completed
2025-04-29 at 22:19:37 | INFO | Experiment interrupted by user
2025-04-29 at 22:19:37 | INFO | Experiment ended
2025-04-29 at 22:19:39 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=logs\debug.log, gui level=DEBUG
2025-04-29 at 22:19:39 | DEBUG | [FastApi] APIServer initialized
2025-04-29 at 22:19:39 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-04-29 at 22:19:39 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-04-29 at 22:19:39 | DEBUG | Instrument clock added to the rack.
2025-04-29 at 22:19:39 | DEBUG | Measurement timestamp added to the rack.
2025-04-29 at 22:19:39 | DEBUG | Measurement time added to the rack.
2025-04-29 at 22:19:39 | DEBUG | Measurement timestamp6 added to the rack.
2025-04-29 at 22:19:39 | DEBUG | Measurement time2 added to the rack.
2025-04-29 at 22:19:39 | DEBUG | Measurement timestamp2 added to the rack.
2025-04-29 at 22:19:39 | DEBUG | Measurement time3 added to the rack.
2025-04-29 at 22:19:39 | DEBUG | Measurement timestamp3 added to the rack.
2025-04-29 at 22:19:39 | DEBUG | Measurement time9 added to the rack.
2025-04-29 at 22:19:39 | INFO | Experiment started
2025-04-29 at 22:19:40 | DEBUG | All experiment tasks started
2025-04-29 at 22:19:40 | DEBUG | [FastApi] Server setup started at localhost:8005
2025-04-29 at 22:19:40 | DEBUG | [FastApi] Server setup completed
2025-04-29 at 22:19:40 | DEBUG | Running APIServer
2025-04-29 at 22:19:40 | DEBUG | Rack setup started
2025-04-29 at 22:19:40 | DEBUG | Rack setup completed
2025-04-29 at 22:19:40 | DEBUG | Running Rack
2025-04-29 at 22:19:40 | DEBUG | [Scribe] Setup started
2025-04-29 at 22:19:40 | INFO | [Scribe] Directory created: 'data_sub'
2025-04-29 at 22:19:40 | DEBUG | [Scribe] Starting at: 06.00
2025-04-29 at 22:19:40 | DEBUG | [Scribe] Setup completed
2025-04-29 at 22:19:40 | DEBUG | Running Scribe
2025-04-29 at 22:19:40 | DEBUG | [Scribe] File data_sub\06.00 start.data does not exist. Creating new file.
2025-04-29 at 22:19:40 | DEBUG | [TaskManager] Setup started
